question,answer,topic
"untuk perbaikan bsia apa saja ya?","Layanan yang kami sediakan :
                        Hardware Ponsel
                            1. Ganti LCD
                            2. Perbaikan Port charger
                            3. Ganti baterai
                            4. Perbaikan speaker dan kamera
                            5. perbaikan tombol samping

                        Software ponsel
                            1. Flashing
                            2. Bootloop
                            3. Bypass-Iphone
                            4. Virus/Malware
                            5. Safe mode

                        Hardware Laptop
                            1. Cleaning Repaste
                            2. Upgrade/Ganti RAM
                            3. Upgrade/Ganti SSD

                        Software Laptop
                            1. Install Ulang OS
                            2. Black/Blue screen
                            3. WiFi & Bluetooth error
                            4. Install Software
                            5. Laptop Lag/Lemot","Layanan"

"layanan","Layanan yang kami sediakan :
                        Hardware Ponsel
                            1. Ganti LCD
                            2. Perbaikan Port charger
                            3. Ganti baterai
                            4. Perbaikan speaker dan kamera
                            5. perbaikan tombol samping

                        Software ponsel
                            1. Flashing
                            2. Bootloop
                            3. Bypass Iphone
                            4. Virus/Malware
                            5. Safe mode

                        Hardware Laptop
                            1. Cleaning Repaste
                            2. Upgrade/Ganti RAM
                            3. Upgrade/Ganti SSD

                        Software Laptop
                            1. Install Ulang OS
                            2. Black/Blue screen
                            3. WiFi & Bluetooth error
                            4. Install Software
                            5. Laptop Lag/Lemot","Layanan"

"service","Layanan yang kami sediakan :
                        Hardware Ponsel
                            1. Ganti LCD
                            2. Perbaikan Port charger
                            3. Ganti baterai
                            4. Perbaikan speaker dan kamera
                            5. perbaikan tombol samping

                        Software ponsel
                            1. Flashing
                            2. Bootloop
                            3. Bypass Iphone
                            4. Virus/Malware
                            5. Safe mode

                        Hardware Laptop
                            1. Cleaning Repaste
                            2. Upgrade/Ganti RAM
                            3. Upgrade/Ganti SSD

                        Software Laptop
                            1. Install Ulang OS
                            2. Black/Blue screen
                            3. WiFi & Bluetooth error
                            4. Install Software
                            5. Laptop Lag/Lemot","Layanan"

"untuk layanan nya apa saja ya?","Layanan yang kami sediakan :
                        Hardware Ponsel
                            1. Ganti LCD
                            2. Perbaikan Port charger
                            3. Ganti baterai
                            4. Perbaikan speaker dan kamera
                            5. perbaikan tombol samping

                        Software ponsel
                            1. Flashing
                            2. Bootloop
                            3. Bypass Iphone
                            4. Virus/Malware
                            5. Safe mode

                        Hardware Laptop
                            1. Cleaning Repaste
                            2. Upgrade/Ganti RAM
                            3. Upgrade/Ganti SSD

                        Software Laptop
                            1. Install Ulang OS
                            2. Black/Blue screen
                            3. WiFi & Bluetooth error
                            4. Install Software
                            5. Laptop Lag/Lemot","Layanan"

"flash hp bisa","Layanan yang kami sediakan :
                        Hardware Ponsel
                            1. Ganti LCD
                            2. Perbaikan Port charger
                            3. Ganti baterai
                            4. Perbaikan speaker dan kamera
                            5. perbaikan tombol samping

                        Software ponsel
                            1. Flashing
                            2. Bootloop
                            3. Bypass Iphone
                            4. Virus/Malware
                            5. Safe mode

                        Hardware Laptop
                            1. Cleaning Repaste
                            2. Upgrade/Ganti RAM
                            3. Upgrade/Ganti SSD

                        Software Laptop
                            1. Install Ulang OS
                            2. Black/Blue screen
                            3. WiFi & Bluetooth error
                            4. Install Software
                            5. Laptop Lag/Lemot","Layanan"

"laptop saya matot bisa?","Layanan yang kami sediakan :
                        Hardware Ponsel
                            1. Ganti LCD
                            2. Perbaikan Port charger
                            3. Ganti baterai
                            4. Perbaikan speaker dan kamera
                            5. perbaikan tombol samping

                        Software ponsel
                            1. Flashing
                            2. Bootloop
                            3. Bypass Iphone
                            4. Virus/Malware
                            5. Safe mode

                        Hardware Laptop
                            1. Cleaning Repaste
                            2. Upgrade/Ganti RAM
                            3. Upgrade/Ganti SSD

                        Software Laptop
                            1. Install Ulang OS
                            2. Black/Blue screen
                            3. WiFi & Bluetooth error
                            4. Install Software
                            5. Laptop Lag/Lemot","Layanan"

"hp saya mati","Baik kak. Sebelumnya kami sampaikan terlebih dahulu resiko perbaikan hp mati total yaitu antara hp bisa nyala atau bahkan mati total selamanya dan terkait keluhan hp mati total kami masih belum tau persis letak kerusakannya, jadi kami perlu observasi kerusakan terlebih dahulu untuk bisa menentukan biaya perbaikanya, saran kami bisa langsung menghubungi melalui tombol WhatsApp yang sudah kami sertakan.","HP_Mati"
"biaya berapa ya?","Untuk prosedur dan biaya kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","HP_Mati"
"berapa?","Untuk prosedur dan biaya keluhan hp mati total kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","HP_Mati"
"berapa ya harganya?","Untuk prosedur dan biaya kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","HP_Mati"
"biaya nya berapa ya","Untuk prosedur dan biaya kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","HP_Mati"
"haraganya?","Untuk prosedur dan biaya kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","HP_Mati"
"harganya","Untuk prosedur dan biaya kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","HP_Mati"
"harga nya","Untuk prosedur dan biaya kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","HP_Mati"

"hp saya layarnya pecah, bisa diperbaiki?","Bisa kak 😊, untuk keluhan layar pecah kita bisa bantu ganti tempred glass dan pergantian LCD tergantung bagian yang rusak. Untuk info lebih lanjut terkait dengan biaya dll bisa chat melalui tombol WhatsApp di samping ya kak terimaksih🙏🏻😁.","layar_lcd"
"layar saya rusak kak","Baik untuk keluhan layar rusak kami perlu observasi terlebih dahulu kak agar bisa kami identifikasi detail kerusakan","layar_lcd"
"layar saya pecah","Baik kak 😊, untuk keluhan layar pecah kita bisa bantu ganti tempred glass dan pergantian LCD tergantung bagian yang rusak, Untuk info lebih lanjut bisa chat melalui tombol WhatsApp di samping ya kak terimaksih🙏🏻😁","layar_lcd"
"layar hp saya mati","Baik untuk keluhan layar mati kami perlu observasi terlebih dahulu kak agar bisa kami identifikasi detail kerusakan","layar_lcd"
"layar mati","Baik untuk keluhan layar mati kami perlu observasi terlebih dahulu kak agar bisa kami identifikasi detail kerusakan","layar_lcd"
"layar tidak bisa hidup","Baik untuk keluhan layar mati kami perlu observasi terlebih dahulu kak agar bisa kami identifikasi detail kerusakan","layar_lcd"
"hp saya layarnya mati","Baik untuk keluhan layar mati kami perlu observasi terlebih dahulu kak agar bisa kami identifikasi detail kerusakan","layar_lcd"
"LCD Pecah","Baik untuk keluhan layar rusak kami perlu observasi terlebih dahulu kak agar bisa kami identifikasi detail kerusakan","layar_lcd"
"berapa biayanya?","Untuk konsultasi biaya dan waktu pengerjaan bisa chat melalui tombol WhatsApp di samping yang sudah kami sertakan","layar_lcd"
"berapa ya harganya?","Untuk prosedur keluhan hp mati total kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","layar_lcd"
"Kalo LCD rusak berapa ya kak?","Baik, untuk konsultasi biaya bisa chat melalui tombol WhatsApp di samping yang sudah kami sertakan, terimaksih🙏🏻","layar_lcd"


"baterai saya cepat habis","Baik Kemungkinan masalah ada di baterai atau port cas kak. Disarankan ganti baterai baru atau cek port cas biar normal kembali😊",baterai"
"baterai saya cepat habis","Baterai bisa diganti baru kak, untuk biayanya Rp.100.000 tergantung jenis HP juga kak.","baterai"
"baterai saya drop kak dan gabisa di cas","Baik kak, keluhan seperti ini banyak kemungkinan kerusakanya bisa dari port charger, jalur pengisian di mesin atau bahkan baterainya sendiri jadi kita harus observasi terlebih dahulu terkait masalah yang anda alami.","baterai"
"hp saya baterainya drop","Baik kak, untuk konsultasi keluhan lebih lanjut terkait detail masalah dan biaya bisa chat melalui tombol WhatsApp di samping ya kak terimaksih🙏🏻","baterai"
"baterai saya tidak bisa nyala","Baterai bisa diganti baru kak, untuk info lebih lanjut bisa klik ikon WhatsApp kami melalui tombol yang kami sediakan","baterai"
"baterai saya mati","Baik kak, untuk konsultasi keluhan lebih lanjut terkait detail masalah dan biaya bisa chat melalui tombol WhatsApp di samping ya kak terimaksih🙏🏻","baterai"
"baterai tidak berfungsi","Baik kak, untuk konsultasi keluhan lebih lanjut terkait detail masalah dan biaya bisa chat melalui tombol WhatsApp di samping ya kak terimaksih🙏🏻","baterai"
"baterai saya drop kak","Baik kak, untuk konsultasi keluhan lebih lanjut terkait detail masalah dan biaya bisa chat melalui tombol WhatsApp di samping ya kak terimaksih🙏🏻","baterai"
"berapa biayanya kak?","Untuk informasi prosedur perbaikan dan biaya bisa langsung menghubungi WhatsApp melalui tombol yang sudah kami sertakan, terima kasih🙏🏻","baterai"
"berapa ya harganya?","Untuk prosedur keluhan hp mati total kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","baterai"
"dan baterai juga melembung","Baik untuk kerusakan baterai menggembung terjadi akibat faktor pemakaian dan charger yang di gunakan, untuk biaya bisa menghubungin WhatsApp yang sudah kami sediakan.","baterai"
"baterai saya melembung","Baik untuk kerusakan baterai menggembung terjadi akibat faktor pemakaian dan charger yang di gunakan, untuk biaya bisa menghubungin WhatsApp yang sudah kami sediakan.","baterai"


"hp saya tidak bisa dicas","Bisa diperbaiki kak, biasanya masalah di port charger atau IC power, tapi kita tidak bisa pastikan ya kak karena masih banyak kemungkinan nya","charger"
"tidak bisa di cas kak","Baik Kemungkinan masalah ada di baterai atau port cas. Untuk info lebih lanjut terkait prosedur dan harga bisa chat melalui tombol WhatsApp yang sudah kami sertakan, Terimakasih🙏🏻",charger"
"hp saya pengecasanya lambat","baik untuk keluhan charger lambat biasa terjadi pada port charger yang kotor atau bahkan harus ganti komponen pada mesin","charger"


"tombol hp saya rusak","Baik, Untuk keluhan Tombol hp yang rusak kami perlu observasi terlebih dahulu untuk mengetahui kerusakan ada di bagian dalam atau sekedar di tombol luar maka untuk info lebih lanjut bisa Klik tombol WhatsApp yang sudah kami Sertakan di samping ya kak, terima kasih🙏🏻😁","tombol"
"tombol saya rusak biaya nya berapa ya?","Tergantung jenis tombol dan include dengan fingerprint atau tidak kak, ","tombol"
"tombol saya rusak tidak bisa di pencet","Baik kemungkinan masalah ada di tombol luar dan tidak sampai di bagian dalam hp, untuk informasi lanjut bisa hubungin WhatsApp melalui tombol yang sudah kami sertakan, terima kasih🙏🏻","tombol"


"speaker hp saya rusak","baik untuk keluhan speaker rusak biasa terjadi akibat debu atau bahkan faktor usia dari speaker itu sendiri, untuk mengetahui informasi detail dan biaya bisa menghubungi WhatsApp yang sudah kami sertakan.","speaker_hp"
"speaker saya tidak bisa hidup","baik untuk keluhan speaker rusak biasa terjadi akibat debu atau bahkan faktor usia dari speaker itu sendiri, untuk mengetahui informasi detail dan biaya bisa menghubungi WhatsApp yang sudah kami sertakan.","speaker_hp"
"speaker saya mati","baik untuk keluhan speaker rusak biasa terjadi akibat debu atau bahkan faktor usia dari speaker itu sendiri, untuk mengetahui informasi detail dan biaya bisa menghubungi WhatsApp yang sudah kami sertakan.","speaker_hp"
"speaker saya tidak bunyi","baik untuk keluhan speaker rusak biasa terjadi akibat debu atau bahkan faktor usia dari speaker itu sendiri, untuk mengetahui informasi detail dan biaya bisa menghubungi WhatsApp yang sudah kami sertakan.","speaker_hp"
"speaker saya tidak fungsi","baik untuk keluhan speaker rusak biasa terjadi akibat debu atau bahkan faktor usia dari speaker itu sendiri, untuk mengetahui informasi detail dan biaya bisa menghubungi WhatsApp yang sudah kami sertakan.","speaker_hp"

"kamera hp saya buram","Bisa kami cek dan perbaiki atau ganti modul kamera 📷","kamera"
"kamera saya mati","Baik kami bisa menangani masalah kamera. Untuk mengetahui kerusakan kami perlu observasi terlebih dahulu","kamera"
"kamera saya tidak berfungsi","Baik kami bisa menangani masalah kamera. Untuk mengetahui kerusakan kami perlu observasi terlebih dahulu","kamera"
"kamera saya tidak bisa hidup","Baik kami bisa menangani masalah kamera. Untuk mengetahui kerusakan kami perlu observasi terlebih dahulu","kamera"
"kameara","Baik kami bisa menangani masalah kamera. Untuk mengetahui kerusakan kami perlu observasi terlebih dahulu","kamera"


"fingerprint hp saya tidak berfungsi","Kami bisa ganti fingerprint dengan modul baru 👆","fingerprint"
"fingerprint saya mati","Kami bisa ganti fingerprint dengan modul baru 👆","fingerprint"



"speaker rusak dan tidak bisa di cas","Baik untuk keluhan speaker rusak biasa terjadi akibat debu atau bahkan faktor usia dari speaker itu sendiri sedangkan masalah tidak bisa dicas biasanya masalah ada di port charger atau IC power","kombinasi_keluhan_hardware"
"speaker rusak dan LCD mati","Baik untuk keluhan speaker rusak biasa terjadi akibat debu atau bahkan faktor usia dari speaker itu sendiri sedangkan kerusakan pada layar kami perlu observasi terlebih dahulu kak agar bisa kami identifikasi detail kerusakan","kombinasi_keluhan_hardware"
"speaker rusak dan mic mati","Baik untuk keluhan speaker rusak biasa terjadi akibat debu atau bahkan faktor usia dari speaker itu sendiri sedangkan untuk keluhan mic mati akibat usia dari komponen tersebut","kombinasi_keluhan_hardware"
"sinyal WiFi dan Bluetooth tidak tampil","Baik untuk kedua keluhan tersebut kami bisa pastikan antara IC RF atau masalah di antenna maka untuk mengetahui kedua kemungkinan kami perlu observasi terlebih dahulu untuk mengetahui masalah ada dimana.","kombinasi_keluhan_hardware"
"sinyal Wifi hilang dan Speaker rusak","Baik untuk keluhan WiFi kami bisa pastikan antara IC RF atau masalah di antenna maka untuk mengetahui kedua kemungkinan kami perlu observasi terlebih dahulu untuk mengetahui masalah ada dimana sedangkan untuk speaker rusak adalah efek dari pemakaian atau usia speaker itu sendiri.","kombinasi_keluhan_hardware"
"hp saya bergetar tapi gabisa hidup","Kemungkinan kerusakan ada di LCD atau IC display pada mesin","kombinasi_keluhan_hardware"
"hp saya bergetar tetapi tidak muncul gambar di layar","Kemungkinan kerusakan ada di LCD atau IC display pada mesin","kombinasi_keluhan_hardware"
"hp saya getar tapi tidak nyala","Kemungkinan kerusakan ada di LCD atau IC display pada mesin","kombinasi_keluhan_hardware"
"layar tidak bisa di sentuh dan sinyal hilang","Baik untuk keluhan layar tidak bisa di sentuh kami tidak bisa tentukan letak kerusakan sedangkan untuk sinyal yang hilang kemungkinan adalah masalah software, jadi untuk mengetahui persis kami perlu observasi terlebih dahulu","kombinasi_keluhan_hardware"



"hp saya hanya stuck logo","Itu biasanya perlu flashing, kami bisa bantu 🔄","flashing"
"hp saya ke lock","Itu biasanya perlu flashing, kami bisa bantu 🔄","flashing"
"hp saya terkunci","Itu biasanya perlu flashing, kami bisa bantu 🔄","flashing"
"hp saya ter kunci","Itu biasanya perlu flashing, kami bisa bantu 🔄","flashing"
"hp saya kelock","Itu biasanya perlu flashing, kami bisa bantu 🔄","flashing"
"hp saya kekunci","Itu biasanya perlu flashing, kami bisa bantu 🔄","flashing"


"hp saya lag dan lemot","baik untuk keluan masalah software bisa menghubungi teknisi kami melalui tombol WhatspApp yang sudah kami sertakan, Terima Kasih","software_hp"
"hp saya lag","baik untuk keluan masalah software bisa menghubungi teknisi kami melalui tombol WhatspApp yang sudah kami sertakan, Terima Kasih","software_hp"
"hp saya lemot","baik untuk keluan masalah software bisa menghubungi teknisi kami melalui tombol WhatspApp yang sudah kami sertakan, Terima Kasih","software_hp"

"hp kena virus","Bisa dibersihkan dan sistem dioptimalkan 💻","software_hp"
"hp tidak bisa update os","Kami bisa bantu update atau reinstall OS sesuai kebutuhan 🔧","software_hp"
"hp saya terblokir imei","Kami bisa bantu unlock IMEI sesuai ketentuan yang berlaku 🔓","software_hp"
"hp saya bootloop bisa di tangani","Bootloop bisa diatasi dengan cara flashing","software_hp"
"bypass ip bisa?","Tentu kami bisa melayani Bypass Iphone anda sesuai ketentuan yang berlaku","software_hp"
"berapa untuk harga bypass","Untuk prosedur dan biaya kami sarankan untuk menghubungi nomor WhatsApp yang sudah kami sertakan. Terima kasih🙏🏻😁","software_hp"


"laptop saya lemot","Install ulang OS bisa bikin laptop lebih cepat ⚡","laptop_umum"



"laptop saya berisik dan panas","Bisa dibersihkan (hardware cleaning) dan cek kipas 🛠️","laptop_cooling"



"laptop saya black screen","Bisa dicek hardware atau driver kak 🔍","troubleshoot_os"
"laptop saya blue screen","Bisa kami perbaiki lewat reinstall atau repair OS 💻","troubleshoot_os"



"butuh install software di laptop","Kami siap install software sesuai kebutuhan kak 🖥️","software_laptop"



"mau upgrade laptop","Kami bisa upgrade RAM atau SSD biar makin kenceng ⚡","upgrade_laptop"



"wifi laptop hilang","Bisa dicek driver atau modul WiFi/Bluetooth 📶","network_laptop"



"apakah ada garansi","Iya kak, semua servis ada garansi 1 bulan 🛡️","garansi"
"garansi ada atau tidak","Ada kak, tiap servis kami kasih garansi 1 bulan","garansi"



"terimakasih","Sama-sama kak, senang bisa membantu 😊","ucapan"
"ok","Siap kak, kalau ada yang mau ditanyakan lagi silakan ✨","ucapan"
